"","year","month","date","count","demonth","wkday","deseason"
"1",2013,1,2013-01-01,381,-155.596774193548,"Tues",-180.267029524932
"2",2013,1,2013-01-02,480,-56.5967741935484,"Wed",-75.7463023036532
"3",2013,1,2013-01-03,549,12.4032258064516,"Thurs",-14.3787108543554
"4",2013,1,2013-01-04,505,-31.5967741935484,"Fri",-101.028601526784
"5",2013,1,2013-01-05,389,-147.596774193548,"Sat",-106.690622414781
"6",2013,1,2013-01-06,393,-143.596774193548,"Sun",-40.6198409261842
"7",2013,1,2013-01-07,521,-15.5967741935484,"Mon",-18.9697377865676
"8",2013,1,2013-01-08,513,-23.5967741935484,"Tues",-48.2670295249322
"9",2013,1,2013-01-09,487,-49.5967741935484,"Wed",-68.7463023036532
"10",2013,1,2013-01-10,555,18.4032258064516,"Thurs",-8.37871085435544
"11",2013,1,2013-01-11,660,123.403225806452,"Fri",53.9713984732157
"12",2013,1,2013-01-12,475,-61.5967741935484,"Sat",-20.6906224147814
"13",2013,1,2013-01-13,373,-163.596774193548,"Sun",-60.6198409261842
"14",2013,1,2013-01-14,542,5.40322580645159,"Mon",2.03026221343242
"15",2013,1,2013-01-15,516,-20.5967741935484,"Tues",-45.2670295249322
"16",2013,1,2013-01-16,578,41.4032258064516,"Wed",22.2536976963468
"17",2013,1,2013-01-17,491,-45.5967741935484,"Thurs",-72.3787108543554
"18",2013,1,2013-01-18,561,24.4032258064516,"Fri",-45.0286015267843
"19",2013,1,2013-01-19,484,-52.5967741935484,"Sat",-11.6906224147814
"20",2013,1,2013-01-20,393,-143.596774193548,"Sun",-40.6198409261842
"21",2013,1,2013-01-21,355,-181.596774193548,"Mon",-184.969737786568
"22",2013,1,2013-01-22,544,7.40322580645159,"Tues",-17.2670295249322
"23",2013,1,2013-01-23,545,8.40322580645159,"Wed",-10.7463023036532
"24",2013,1,2013-01-24,554,17.4032258064516,"Thurs",-9.37871085435544
"25",2013,1,2013-01-25,674,137.403225806452,"Fri",67.9713984732157
"26",2013,1,2013-01-26,558,21.4032258064516,"Sat",62.3093775852186
"27",2013,1,2013-01-27,429,-107.596774193548,"Sun",-4.61984092618417
"28",2013,1,2013-01-28,507,-29.5967741935484,"Mon",-32.9697377865676
"29",2013,1,2013-01-29,542,5.40322580645159,"Tues",-19.2670295249322
"30",2013,1,2013-01-30,497,-39.5967741935484,"Wed",-58.7463023036532
"31",2013,1,2013-01-31,592,55.4032258064516,"Thurs",28.6212891456446
"32",2013,2,2013-02-01,574,26.8672566371681,"Fri",-42.5645706960678
"33",2013,2,2013-02-02,534,-13.1327433628319,"Sat",27.7734084159351
"34",2013,2,2013-02-03,445,-102.132743362832,"Sun",0.844189904532357
"35",2013,2,2013-02-04,553,5.86725663716811,"Mon",2.49429304414894
"36",2013,2,2013-02-05,566,18.8672566371681,"Tues",-5.80299869421565
"37",2013,2,2013-02-06,566,18.8672566371681,"Wed",-0.282271472936642
"38",2013,2,2013-02-07,526,-21.1327433628319,"Thurs",-47.9146800236389
"39",2013,2,2013-02-08,702,154.867256637168,"Fri",85.4354293039322
"40",2013,2,2013-02-09,403,-144.132743362832,"Sat",-103.226591584065
"41",2013,2,2013-02-10,400,-147.132743362832,"Sun",-44.1558100954676
"42",2013,2,2013-02-11,475,-72.1327433628319,"Mon",-75.5057069558511
"43",2013,2,2013-02-12,498,-49.1327433628319,"Tues",-73.8029986942156
"44",2013,2,2013-02-13,568,20.8672566371681,"Wed",1.71772852706336
"45",2013,2,2013-02-14,631,83.8672566371681,"Thurs",57.0853199763611
"46",2013,2,2013-02-15,604,56.8672566371681,"Fri",-12.5645706960678
"47",2013,2,2013-02-16,449,-98.1327433628319,"Sat",-57.2265915840649
"48",2013,2,2013-02-17,447,-100.132743362832,"Sun",2.84418990453236
"49",2013,2,2013-02-18,398,-149.132743362832,"Mon",-152.505706955851
"50",2013,2,2013-02-19,477,-70.1327433628319,"Tues",-94.8029986942156
"51",2013,2,2013-02-20,510,-37.1327433628319,"Wed",-56.2822714729366
"52",2013,2,2013-02-21,498,-49.1327433628319,"Thurs",-75.9146800236389
"53",2013,2,2013-02-22,531,-16.1327433628319,"Fri",-85.5645706960678
"54",2013,2,2013-02-23,521,-26.1327433628319,"Sat",14.7734084159351
"55",2013,2,2013-02-24,426,-121.132743362832,"Sun",-18.1558100954676
"56",2013,2,2013-02-25,490,-57.1327433628319,"Mon",-60.5057069558511
"57",2013,2,2013-02-26,537,-10.1327433628319,"Tues",-34.8029986942156
"58",2013,2,2013-02-27,550,2.86725663716811,"Wed",-16.2822714729366
